nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,steps,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,1,22,1133,62,520,45.89585172109444,[],2
5,12,0.1,2,2,44,1133,64,557,49.16151809355693,[],2
5,12,0.1,4,4,88,1133,66,622,54.898499558693736,[],2
5,12,0.1,8,8,176,1133,57,718,63.37157987643425,[],2
5,12,0.1,16,16,215,1133,40,750,66.19593998234775,[],2
4,12,0.1,1,1,22,1133,68,427,37.68755516328332,[],2
4,12,0.1,2,2,44,1133,68,467,41.2180052956752,[],2
4,12,0.1,4,4,88,1133,66,524,46.24889673433363,[],2
4,12,0.1,8,8,176,1133,61,633,55.8693733451015,[],2
4,12,0.1,16,16,267,1133,49,730,64.43071491615181,[],2
6,12,0.1,1,1,22,1133,68,408,36.01059135039718,[],2
6,12,0.1,2,2,44,1133,76,465,41.04148278905561,[],2
6,12,0.1,4,4,88,1133,71,527,46.51368049426302,[],2
6,12,0.1,8,8,176,1133,63,630,55.60458958517211,[],2
6,12,0.1,16,16,271,1133,45,719,63.45984112974404,[],2
7,12,0.1,1,1,22,1133,65,444,39.187996469549866,[],2
7,12,0.1,2,2,44,1133,61,485,42.806707855251545,[],2
7,12,0.1,4,4,88,1133,62,547,48.27890556045896,[],2
7,12,0.1,8,8,176,1133,59,647,57.10503089143866,[],2
7,12,0.1,16,16,264,1133,42,736,64.9602824360106,[],2
10,12,0.1,1,1,22,1133,66,455,40.15887025595764,[],2
10,12,0.1,2,2,44,1133,71,494,43.60105913503972,[],2
10,12,0.1,4,4,88,1133,61,559,49.33804060017653,[],2
10,12,0.1,8,8,176,1133,60,657,57.98764342453663,[],2
10,12,0.1,16,16,253,1133,46,732,64.6072374227714,[],2
3,12,0.1,1,1,22,1133,73,498,43.95410414827891,[],2
3,12,0.1,2,2,44,1133,68,538,47.484554280670785,[],2
3,12,0.1,4,4,88,1133,66,597,52.691968225948806,[],2
3,12,0.1,8,8,176,1133,60,692,61.07678729037952,[],2
3,12,0.1,16,16,237,1133,44,743,65.57811120917917,[],2
2,12,0.1,1,1,22,1133,60,443,39.09973521624007,[],2
2,12,0.1,2,2,44,1133,57,480,42.36540158870256,[],2
2,12,0.1,4,4,88,1133,57,545,48.10238305383937,[],2
2,12,0.1,8,8,176,1133,58,654,57.72285966460724,[],2
2,12,0.1,16,16,251,1133,46,729,64.34245366284202,[],2
1,12,0.1,1,1,22,1133,68,450,39.71756398940865,[],2
1,12,0.1,2,2,44,1133,70,488,43.07149161518093,[],2
1,12,0.1,4,4,88,1133,70,567,50.044130626654905,[],2
1,12,0.1,8,8,176,1133,63,669,59.04677846425419,[],2
1,12,0.1,16,16,240,1133,47,726,64.07766990291263,[],2
9,12,0.1,1,1,22,1133,57,471,41.57105030891439,[],2
9,12,0.1,2,2,44,1133,62,519,45.80759046778464,[],2
9,12,0.1,4,4,88,1133,63,584,51.54457193292144,[],2
9,12,0.1,8,8,176,1133,59,684,60.37069726390115,[],2
9,12,0.1,16,16,237,1133,43,732,64.6072374227714,[],2
8,12,0.1,1,1,22,1133,61,500,44.1306266548985,[],2
8,12,0.1,2,2,44,1133,62,537,47.39629302736098,[],2
8,12,0.1,4,4,88,1133,63,602,53.1332744924978,[],2
8,12,0.1,8,8,176,1133,60,704,62.13592233009708,[],2
8,12,0.1,16,16,227,1133,39,745,65.75463371579876,[],2
