nr,nazwa,pp,numberOfSeeds,seeds,totalNumberOfSeeds,numberOfNodes,steps,infectedTotal,infectedTotalPercentage,computionalTime,limitPercentage
5,12,0.1,1,1,22,1133,65,522,46.072374227714036,[],2
5,12,0.1,2,2,44,1133,66,556,49.07325684024713,[],2
5,12,0.1,4,4,88,1133,65,615,54.28067078552515,[],2
5,12,0.1,8,8,176,1133,59,719,63.45984112974404,[],2
5,12,0.1,16,16,350,1133,56,889,78.46425419240953,[],2
4,12,0.1,1,1,22,1133,68,427,37.68755516328332,[],2
4,12,0.1,2,2,44,1133,69,465,41.04148278905561,[],2
4,12,0.1,4,4,88,1133,66,528,46.601941747572816,[],2
4,12,0.1,8,8,176,1133,65,632,55.781112091791705,[],2
4,12,0.1,16,16,351,1133,55,814,71.84466019417476,[],2
6,12,0.1,1,1,22,1133,61,396,34.95145631067961,[],2
6,12,0.1,2,2,44,1133,71,456,40.24713150926743,[],2
6,12,0.1,4,4,88,1133,68,518,45.71932921447485,[],2
6,12,0.1,8,8,176,1133,63,624,55.07502206531333,[],2
6,12,0.1,16,16,351,1133,53,799,70.5207413945278,[],2
7,12,0.1,1,1,22,1133,65,442,39.01147396293027,[],2
7,12,0.1,2,2,44,1133,62,485,42.806707855251545,[],2
7,12,0.1,4,4,88,1133,62,548,48.36716681376876,[],2
7,12,0.1,8,8,176,1133,56,645,56.92850838481907,[],2
7,12,0.1,16,16,348,1133,47,814,71.84466019417476,[],2
10,12,0.1,1,1,22,1133,63,441,38.92321270962047,[],2
10,12,0.1,2,2,44,1133,73,498,43.95410414827891,[],2
10,12,0.1,4,4,88,1133,60,554,48.89673433362754,[],2
10,12,0.1,8,8,176,1133,58,652,57.54633715798765,[],2
10,12,0.1,16,16,349,1133,53,826,72.90379523389232,[],2
3,12,0.1,1,1,22,1133,74,493,43.51279788172992,[],2
3,12,0.1,2,2,44,1133,71,529,46.69020300088261,[],2
3,12,0.1,4,4,88,1133,69,589,51.985878199470434,[],2
3,12,0.1,8,8,176,1133,59,685,60.458958517210945,[],2
3,12,0.1,16,16,348,1133,53,855,75.46337157987644,[],2
2,12,0.1,1,1,22,1133,59,439,38.74669020300088,[],2
2,12,0.1,2,2,44,1133,63,480,42.36540158870256,[],2
2,12,0.1,4,4,88,1133,63,546,48.190644307149164,[],2
2,12,0.1,8,8,176,1133,60,646,57.016769638128864,[],2
2,12,0.1,16,16,351,1133,54,825,72.81553398058253,[],2
1,12,0.1,1,1,22,1133,67,450,39.71756398940865,[],2
1,12,0.1,2,2,44,1133,72,492,43.42453662842012,[],2
1,12,0.1,4,4,88,1133,74,562,49.60282436010591,[],2
1,12,0.1,8,8,176,1133,67,668,58.95851721094439,[],2
1,12,0.1,16,16,351,1133,54,839,74.05119152691968,[],2
9,12,0.1,1,1,22,1133,62,467,41.2180052956752,[],2
9,12,0.1,2,2,44,1133,69,522,46.072374227714036,[],2
9,12,0.1,4,4,88,1133,64,581,51.279788172992056,[],2
9,12,0.1,8,8,176,1133,59,675,59.576345984112976,[],2
9,12,0.1,16,16,352,1133,50,843,74.40423654015888,[],2
8,12,0.1,1,1,22,1133,58,488,43.07149161518093,[],2
8,12,0.1,2,2,44,1133,60,532,46.954986760812,[],2
8,12,0.1,4,4,88,1133,60,594,52.42718446601942,[],2
8,12,0.1,8,8,176,1133,58,702,61.95939982347749,[],2
8,12,0.1,16,16,351,1133,49,872,76.96381288614297,[],2
